"filename", "language", "XML", "Log", "Markdown", "C++", "JSON", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\HpBar.cpp", "C++", 0, 0, 0, 174, 0, 0, 0, 0, 27, 201
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\HpBar.h", "C++", 0, 0, 0, 51, 0, 0, 0, 0, 10, 61
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\InteractionManager.cpp", "C++", 0, 0, 0, 225, 0, 0, 0, 0, 35, 260
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\InteractionManager.h", "C++", 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\InventoryManager.cpp", "C++", 0, 0, 0, 288, 0, 0, 0, 0, 52, 340
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\InventoryManager.h", "C++", 0, 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\LavaZoneManager.cpp", "C++", 0, 0, 0, 86, 0, 0, 0, 0, 13, 99
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\LavaZoneManager.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PauseMenu.cpp", "C++", 0, 0, 0, 1927, 0, 0, 0, 0, 217, 2144
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PauseMenu.h", "C++", 0, 0, 0, 144, 0, 0, 0, 0, 12, 156
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PickupManager.cpp", "C++", 0, 0, 0, 352, 0, 0, 0, 0, 46, 398
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\PickupManager.h", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 9, 64
